arm,step,manifolds_live,points
full_step/1,645,4866,13585
full_step/1,646,4865,13534
full_step/1,647,4860,13523
full_step/1,648,4860,13507
full_step/1,649,4857,13477
full_step/1,650,4852,13510
full_step/1,651,4844,13523
full_step/1,652,4849,13487
full_step/1,653,4846,13523
full_step/1,654,4854,13534
full_step/1,655,4852,13505
full_step/1,656,4852,13511
full_step/1,657,4845,13524
full_step/1,658,4851,13499
full_step/1,659,4853,13495
full_step/1,660,4850,13544
full_step/1,661,4853,13588
full_step/1,662,4858,13585
full_step/1,663,4851,13601
full_step/1,664,4857,13611
full_step/1,665,4855,13589
full_step/1,666,4848,13575
full_step/1,667,4849,13565
full_step/1,668,4850,13590
full_step/1,669,4849,13593
full_step/1,670,4846,13570
full_step/1,671,4848,13625
full_step/1,672,4844,13638
full_step/1,673,4837,13564
full_step/1,674,4836,13491
full_step/1,675,4839,13567
full_step/1,676,4834,13538
full_step/1,677,4835,13461
full_step/1,678,4832,13462
full_step/1,679,4833,13455
full_step/1,680,4828,13450
full_step/1,681,4828,13437
full_step/1,682,4832,13384
full_step/1,683,4839,13409
full_step/1,684,4830,13420
full_step/1,685,4823,13455
full_step/1,686,4819,13427
full_step/1,687,4819,13397
full_step/1,688,4818,13428
full_step/1,689,4829,13441
full_step/1,690,4824,13413
full_step/1,691,4828,13400
full_step/1,692,4822,13460
full_step/1,693,4823,13448
full_step/1,694,4821,13424
full_step/1,695,4822,13431
full_step/1,696,4823,13475
full_step/1,697,4817,13509
full_step/1,698,4814,13532
full_step/1,699,4817,13524
full_step/1,700,4814,13503
full_step/1,701,4806,13526
full_step/1,702,4801,13467
full_step/1,703,4814,13478
full_step/1,704,4804,13508
full_step/1,705,4807,13497
full_step/1,706,4816,13478
full_step/1,707,4814,13450
full_step/1,708,4818,13471
full_step/1,709,4828,13444
full_step/1,710,4821,13445
full_step/1,711,4825,13463
full_step/1,712,4820,13481
full_step/1,713,4812,13519
full_step/1,714,4822,13519
full_step/1,715,4821,13560
full_step/1,716,4811,13540
full_step/1,717,4824,13502
full_step/1,718,4819,13484
full_step/1,719,4820,13572
full_step/1,720,4818,13584
full_step/1,721,4818,13518
full_step/1,722,4818,13520
full_step/1,723,4812,13518
full_step/1,724,4803,13506
full_step/1,725,4803,13519
full_step/1,726,4796,13524
full_step/1,727,4810,13511
full_step/1,728,4806,13525
full_step/1,729,4810,13511
full_step/1,730,4804,13438
full_step/1,731,4807,13472
full_step/1,732,4803,13528
full_step/1,733,4801,13495
full_step/1,734,4810,13474
full_step/1,735,4807,13454
full_step/1,736,4815,13488
full_step/1,737,4806,13532
full_step/1,738,4806,13520
full_step/1,739,4808,13467
full_step/1,740,4813,13516
full_step/1,741,4803,13528
full_step/1,742,4804,13496
full_step/1,743,4805,13505
full_step/1,744,4803,13551
full_step/1,745,4805,13518
full_step/1,746,4801,13524
full_step/1,747,4800,13491
full_step/1,748,4803,13552
full_step/1,749,4807,13551
full_step/1,750,4805,13556
full_step/1,751,4804,13520
full_step/1,752,4798,13508
full_step/1,753,4804,13543
full_step/1,754,4794,13497
full_step/1,755,4801,13510
full_step/1,756,4804,13540
full_step/1,757,4808,13520
full_step/1,758,4809,13529
full_step/1,759,4810,13539
full_step/1,760,4798,13507
full_step/1,761,4791,13467
full_step/1,762,4793,13458
full_step/1,763,4793,13452
full_step/1,764,4798,13452
full_step/1,765,4798,13412
full_step/1,766,4803,13464
full_step/1,767,4799,13458
full_step/1,768,4805,13455
full_step/1,769,4803,13441
full_step/1,770,4807,13423
full_step/1,771,4806,13400
full_step/1,772,4800,13418
full_step/1,773,4806,13407
full_step/1,774,4799,13408
full_step/1,775,4805,13484
full_step/1,776,4803,13436
full_step/1,777,4796,13371
full_step/1,778,4800,13369
full_step/1,779,4793,13414
full_step/1,780,4793,13341
full_step/1,781,4793,13360
full_step/1,782,4788,13352
full_step/1,783,4785,13370
full_step/1,784,4795,13397
full_step/1,785,4795,13382
full_step/1,786,4784,13370
full_step/1,787,4791,13396
full_step/1,788,4780,13394
full_step/1,789,4791,13309
full_step/1,790,4782,13281
full_step/1,791,4781,13312
full_step/1,792,4769,13290
full_step/1,793,4774,13284
full_step/1,794,4775,13306
full_step/1,795,4772,13338
full_step/1,796,4777,13338
full_step/1,797,4783,13344
full_step/1,798,4783,13357
full_step/1,799,4782,13385
full_step/1,800,4788,13369
full_step/1,801,4789,13358
full_step/1,802,4794,13387
full_step/1,803,4783,13374
full_step/1,804,4786,13353
full_step/1,805,4781,13347
full_step/1,806,4780,13369
full_step/1,807,4783,13381
full_step/1,808,4788,13347
full_step/1,809,4782,13367
full_step/1,810,4790,13378
full_step/1,811,4785,13359
full_step/1,812,4789,13376
full_step/1,813,4787,13299
full_step/1,814,4792,13323
full_step/1,815,4788,13340
full_step/1,816,4792,13296
full_step/1,817,4800,13307
full_step/1,818,4799,13381
full_step/1,819,4796,13397
full_step/1,820,4793,13370
full_step/1,821,4787,13363
full_step/1,822,4786,13386
full_step/1,823,4791,13375
full_step/1,824,4789,13421
full_step/1,825,4786,13456
full_step/1,826,4783,13394
full_step/1,827,4789,13431
full_step/1,828,4792,13452
full_step/1,829,4792,13497
full_step/1,830,4797,13447
full_step/1,831,4790,13387
full_step/1,832,4796,13465
full_step/1,833,4792,13470
full_step/1,834,4789,13464
full_step/1,835,4788,13478
full_step/1,836,4795,13399
full_step/1,837,4801,13413
full_step/1,838,4789,13373
full_step/1,839,4798,13333
full_step/1,840,4794,13370
full_step/1,841,4793,13333
full_step/1,842,4788,13355
full_step/1,843,4792,13394
full_step/1,844,4788,13399
full_step/1,845,4788,13423
full_step/1,846,4795,13447
full_step/1,847,4799,13388
full_step/1,848,4794,13402
full_step/1,849,4802,13414
full_step/1,850,4799,13462
full_step/1,851,4797,13448
full_step/1,852,4793,13446
full_step/1,853,4792,13427
full_step/1,854,4792,13422
full_step/1,855,4791,13382
full_step/1,856,4787,13373
full_step/1,857,4789,13395
full_step/1,858,4787,13450
full_step/1,859,4789,13465
full_step/1,860,4790,13456
full_step/1,861,4793,13440
full_step/1,862,4800,13429
full_step/1,863,4800,13426
full_step/1,864,4801,13419
full_step/1,865,4790,13362
full_step/1,866,4794,13445
full_step/1,867,4791,13459
full_step/1,868,4788,13424
full_step/1,869,4787,13433
full_step/1,870,4786,13461
full_step/1,871,4787,13547
full_step/1,872,4784,13486
full_step/1,873,4788,13429
full_step/1,874,4787,13389
full_step/1,875,4793,13400
full_step/1,876,4789,13424
full_step/1,877,4800,13414
full_step/1,878,4802,13467
full_step/1,879,4808,13463
full_step/1,880,4802,13369
full_step/1,881,4797,13349
full_step/1,882,4802,13340
full_step/1,883,4798,13405
full_step/1,884,4797,13427
full_step/1,885,4799,13381
full_step/1,886,4795,13352
full_step/1,887,4797,13354
full_step/1,888,4796,13403
full_step/1,889,4788,13421
full_step/1,890,4795,13463
full_step/1,891,4791,13467
full_step/1,892,4796,13512
full_step/1,893,4800,13549
full_step/1,894,4797,13571
full_step/1,895,4799,13631
full_step/1,896,4800,13652
full_step/1,897,4801,13661
full_step/1,898,4798,13665
full_step/1,899,4799,13661
full_step/1,900,4807,13677
full_step/1,901,4804,13657
full_step/1,902,4811,13662
full_step/1,903,4802,13611
full_step/1,904,4802,13615
full_step/1,905,4794,13540
full_step/1,906,4786,13564
full_step/1,907,4790,13576
full_step/1,908,4785,13538
full_step/1,909,4793,13494
full_step/1,910,4795,13479
full_step/1,911,4803,13552
full_step/1,912,4805,13537
full_step/1,913,4801,13519
full_step/1,914,4805,13609
full_step/1,915,4798,13623
full_step/1,916,4797,13625
full_step/1,917,4799,13661
full_step/1,918,4801,13633
full_step/1,919,4809,13599
full_step/1,920,4797,13613
full_step/1,921,4799,13624
full_step/1,922,4797,13623
full_step/1,923,4800,13629
full_step/1,924,4805,13684
full_step/1,925,4804,13640
full_step/1,926,4807,13651
full_step/1,927,4799,13613
full_step/1,928,4805,13621
full_step/1,929,4803,13614
full_step/1,930,4804,13653
full_step/1,931,4799,13642
full_step/1,932,4802,13624
